Time,SL1_CVC1_DVH3_MT040.iRunningF,SL1_SOL_010.oRawOutput,SL1_SOL_011.oRawOutput,SL1_CVC1_DVH3.qRestraintEngaged,SL1_PIT_005.qInput,SL1_PIT_006.qInput,SL1_PIT_007.qInput
12-Jan-26 21:09:03,0,0,0,1,6.887159824,29.13100052,13.18904018
12-Jan-26 21:09:04,0,0,0,1,6.887159824,28.4565506,12.80804157
12-Jan-26 21:09:05,0,0,0,1,6.887159824,28.4565506,12.80804157
12-Jan-26 21:09:06,0,0,0,1,6.887159824,29.01426888,12.92963696
12-Jan-26 21:09:07,0,0,0,1,6.887159824,29.01426888,12.92963696
12-Jan-26 21:09:08,0,0,0,1,6.887159824,27.12062263,12.68644619
12-Jan-26 21:09:09,0,0,0,1,6.887159824,27.12062263,12.68644619
12-Jan-26 21:09:10,0,0,0,1,6.887159824,29.0012989,12.71076584
12-Jan-26 21:09:11,0,0,0,1,6.887159824,29.0012989,12.71076584
12-Jan-26 21:09:12,0,0,0,1,6.887159824,28.46952057,12.37840462
12-Jan-26 21:09:13,0,0,0,1,6.887159824,28.46952057,12.37840462
12-Jan-26 21:09:14,0,0,0,1,6.887159824,31.1413765,7.749675751
12-Jan-26 21:09:15,0,0,0,1,6.887159824,31.1413765,7.749675751
12-Jan-26 21:09:16,0,0,0,1,6.887159824,33.26848221,3.299286604
12-Jan-26 21:09:17,0,0,0,1,6.887159824,33.26848221,3.299286604
12-Jan-26 21:09:18,0,0,0,1,6.887159824,34.04669571,2.018482447
12-Jan-26 21:09:19,0,0,0,1,6.887159824,34.04669571,2.018482447
12-Jan-26 21:09:20,0,0,0,1,6.887159824,34.08560562,1.702334642
12-Jan-26 21:09:21,0,0,0,1,6.887159824,34.08560562,1.702334642
12-Jan-26 21:09:22,0,0,0,1,6.887159824,33.80026245,1.888780832
12-Jan-26 21:09:23,0,0,0,1,6.887159824,33.80026245,1.888780832
12-Jan-26 21:09:24,0,0,0,1,6.887159824,35.57717514,1.361867785
12-Jan-26 21:09:25,0,0,0,1,6.887159824,35.57717514,1.361867785
12-Jan-26 21:09:26,0,0,0,1,6.887159824,33.7743187,1.515888453
12-Jan-26 21:09:27,0,0,0,1,6.887159824,33.7743187,1.515888453
12-Jan-26 21:09:28,0,0,0,1,7.146563053,33.92996216,1.175421596
12-Jan-26 21:09:29,0,0,0,1,7.146563053,33.92996216,1.175421596
12-Jan-26 21:09:30,0,0,0,1,6.31647253,34.21530533,1.86446178
12-Jan-26 21:09:31,0,0,0,1,6.31647253,34.21530533,1.86446178
12-Jan-26 21:09:32,0,0,0,1,6.31647253,34.65629196,1.078145266
12-Jan-26 21:09:33,0,0,0,1,6.31647253,34.65629196,1.078145266
12-Jan-26 21:09:34,0,0,0,1,6.31647253,33.72243881,1.434824944
12-Jan-26 21:09:35,0,0,0,1,6.31647253,33.72243881,1.434824944
12-Jan-26 21:09:36,0,0,0,1,6.31647253,34.30609894,1.094357967
12-Jan-26 21:09:37,0,0,0,1,6.31647253,34.30609894,1.094357967
12-Jan-26 21:09:38,0,0,0,1,6.31647253,33.85214233,1.151102543
12-Jan-26 21:09:39,0,0,0,1,6.31647253,33.85214233,1.151102543
12-Jan-26 21:09:40,0,0,0,1,6.31647253,32.91828918,1.613164783
12-Jan-26 21:09:41,0,0,0,1,6.31647253,32.91828918,1.613164783
12-Jan-26 21:09:42,0,0,0,1,6.446174145,33.26848221,1.11867702
12-Jan-26 21:09:43,0,0,0,1,6.446174145,33.26848221,1.11867702
12-Jan-26 21:09:44,0,0,0,1,6.926070213,34.02075195,1.272697806
12-Jan-26 21:09:45,0,0,0,1,6.926070213,34.02075195,1.272697806
12-Jan-26 21:09:46,0,0,0,1,6.926070213,33.80026245,1.134889722
12-Jan-26 21:09:47,0,0,0,1,6.926070213,33.80026245,1.134889722
12-Jan-26 21:09:48,0,0,0,1,6.433203697,34.1374855,1.240272403
12-Jan-26 21:09:49,0,0,0,1,6.433203697,34.1374855,1.240272403
12-Jan-26 21:09:50,0,0,0,1,6.407263756,32.94422913,0.753891051
12-Jan-26 21:09:51,0,0,0,1,6.407263756,32.94422913,0.753891051
12-Jan-26 21:09:52,0,0,0,1,6.407263756,33.35927582,1.175421596
12-Jan-26 21:09:53,0,0,0,1,6.407263756,33.35927582,1.175421596
12-Jan-26 21:09:54,0,0,0,1,6.407263756,34.9546051,0.907911837
12-Jan-26 21:09:55,0,0,0,1,6.407263756,34.9546051,0.907911837
12-Jan-26 21:09:56,0,0,0,1,6.407263756,33.34630585,1.013294458
12-Jan-26 21:09:57,0,0,0,1,6.407263756,33.34630585,1.013294458
12-Jan-26 21:09:58,0,0,0,1,6.407263756,33.04799271,1.337548614
12-Jan-26 21:09:59,0,0,0,1,6.407263756,33.04799271,1.337548614
12-Jan-26 21:10:00,0,0,0,1,6.523994923,33.26848221,1.053826213
12-Jan-26 21:10:01,0,0,0,1,6.523994923,33.26848221,1.053826213
